Org_Identifier,Org_FormalName,Project_Identifier,Project_Name,Project_QAPPApproved,Project_QAPPApprovalAgency,ProjectAttachment_FileName,ProjectAttachment_FileType,Location_Identifier,Location_Name,Location_Type,Location_Description,Location_State,Location_CountryName,Location_CountyName,Location_CountryCode,Location_StatePostalCode,Location_CountyCode,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLandIndicator,Location_TribalLand,Location_Latitude,Location_Longitude,Location_HorzCoordReferenceSystemDatum,Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HorzCoordStandardizedDatum,AlternateLocation_IdentifierCount,Activity_ActivityIdentifier,Activity_ActivityIdentifierUserSupplied,Activity_TypeCode,Activity_Media,Activity_MediaSubdivision,Activity_BottomDepthSamplingComponent,ActivityBiological_AssemblageSampled,ActivityBiological_ToxicityTestType,Activity_ConductingOrganization,Activity_Comment,ActivityLocation_Latitude,ActivityLocation_Longitude,ActivityLocation_HorzCoordReferenceSystemDatum,ActivityLocation_SourceMapScale,ActivityLocation_LatitudeStandardized,ActivityLocation_LongitudeStandardized,ActivityLocation_HorzCoordStandardizedDatum,ActivityLocation_HorzAccuracyMeasure,ActivityLocation_HorzAccuracyMeasureUnit,ActivityLocation_HorizontalAccuracyHorzCollectionMethod,ActivityLocation_Description,Activity_StartDate,Activity_StartTime,Activity_StartTimeZone,Activity_EndDate,Activity_EndTime,Activity_EndTimeZone,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,Activity_BottomDepthAltitudeReferencePoint,Activity_ActivityRelativeDepth,Activity_TopDepthMeasure,Activity_TopDepthMeasureUnit,Activity_BottomDepth_Measure,Activity_BottomDepthMeasureUnit,SampleCollectionMethod_Identifier,SampleCollectionMethod_IdentifierContext,SampleCollectionMethod_Name,SampleCollectionMethod_QualifierTypeName,SampleCollectionMethod_Description,SampleCollectionMethod_EquipmentName,SampleCollectionMethod_EquipmentComment,SamplePrepMethod_Identifier,SamplePrepMethod_IdentifierContext,SamplePrepMethod_Name,SamplePrepMethod_QualifierType,SamplePrepMethod_Description,SamplePrepMethod_ContainerLabel,SamplePrepMethod_ContainerType,SamplePrepMethod_ContainerColor,SamplePrepMethod_ChemicalPreservativeUsed,SamplePrepMethod_ThermalPreservativeUsed,SamplePrepMethod_TransportStorageDescription,SamplePrepMethod_HydrologicCondition,SamplePrepMethod_HydrologicEvent,ActivityAttachment_FileName,ActivityAttachment_FileType,ActivityAttachment_FileDownload,Result_DataLoggerLine,Result_ResultDetectionCondition,Result_Characteristic,Result_CharacteristicUserSupplied,Result_CASNumber,Result_MethodSpeciation,Result_SampleFraction,ResultBiological_Intent,ResultBiological_IndividualIdentifier,ResultBiological_Taxon,ResultBiological_TaxonUserSupplied,ResultBiological_TaxonUserSuppliedReference,ResultBiological_UnidentifiedSpeciesIdentifier,ResultBiological_SampleTissueAnatomy,ResultBiological_GroupSummaryCount,GroupSummaryWeightMeasure_Value,GroupSummaryWeightMeasure_Unit,ResultDepthHeight_MeasureValue,ResultDepthHeight_MeasureUnit,ResultDepthHeight_AltitudeReferencePoint,ResultDepthHeight_SamplingPointName,ResultDepthHeight_SamplingPointType,ResultDepthHeight_SamplingPointPlaceInSeries,ResultDepthHeight_SamplingPointComment,ResultDepthHeight_RecordIdentifierUserSupplied,Result_MeasureIdentifier,Result_MeasureValue,Result_MeasureUnit,Result_MeasureQualifierCode,Result_MeasureStatusIdentifier,Result_StatisticalBase,Result_StatisticalNValue,Result_MeasureValueType,Result_WeightBasis,Result_TimeBasis,Result_MeasureTemperatureBasis,Result_MeasureParticleSizeBasis,DataQuality_PrecisionValue,DataQuality_BiasValue,DataQuality_ConfidenceIntervalValue,DataQuality_UpperConfidenceLimitValue,DataQuality_LowerConfidenceLimitValue,DataQuality_ResultCommentText,DetectionLimit_TypeA,DetectionLimit_MeasureValueA,DetectionLimit_MeasureUnitA,DetectionLimit_CommentTextA,DetectionLimit_TypeB,DetectionLimit_MeasureValueB,DetectionLimit_MeasureUnitB,DetectionLimit_CommentTextB,DetectionLimit_LabSampleSplitRatio,DetectionLimit_LabAccreditationIndicator,DetectionLimit_LabAccreditationAuthority,DetectionLimit_TaxonAccreditationIndicator,DetectionLimit_TaxonAccreditationAuthority,ResultAnalyticalMethod_Identifier,ResultAnalyticalMethod_IdentifierContext,ResultAnalyticalMethod_Name,ResultAnalyticalMethod_QualifierType,ResultAnalyticalMethod_Description,Result_ComparableMethodIdentifier,Result_ComparableMethodIdentifierContext,Result_ComparableMethodModification,LabInfo_Name,LabInfo_AnalysisStartDate,LabInfo_AnalysisStartTime,LabInfo_AnalysisStartTimeZone,LabInfo_AnalysisEndDate,LabInfo_AnalysisEndTime,LabInfo_AnalysisEndTimeZone,LabInfo_LaboratoryComment,LabSamplePrepMethod_Identifier,LabSamplePrepMethod_IdentifierContext,LabSamplePrepMethod_Name,LabSamplePrepMethod_QualifierType,LabSamplePrepMethod_Description,LabSamplePrepMethod_StartDate,LabSamplePrepMethod_StartTime,LabSamplePrepMethod_StartTimeZone,LabSamplePrepMethod_EndDate,LabSamplePrepMethod_EndTime,LabSamplePrepMethod_EndTimeZone,LabSamplePrepMethod_DilutionFactor,ResultAttachment_FileName,ResultAttachment_FileType,ResultAttachment_FileDownload,ProviderName,Result_CharacteristicComparable,Result_CharacteristicGroup,Org_Type,LastChangeDate,USGSpcode,USGSSampleAquifer
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hardness, Ca, Mg","Hardness as calcium carbonate, water",,as CaCO3,,,,,,,,,,,,,,,,,,,,,4,mg/L,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,ALGCY,USDOI/USGS,Legacy computation by algorithm,,"DESCRIPTION: Presumptive computation by NWIS algorithm and legacy storage of that computation prior to an April 1983 decision to produce computations only on output; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,,2024-03-25,00900,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sample accounting number,Sample accounting number,,,,,,,,,,,,,,,,,,,,,,,1085,,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Information,,2024-03-25,00008,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Acidity, (H+)","Hydrogen ion, water, unfiltered, calculated",12408-02-5,,Unfiltered,,,,,,,,,,,,,,,,,,,,0,mg/L,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",,2024-03-25,00191,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hardness, non-carbonate","Noncarbonate hardness as calcium carbonate, water, unfiltered, field",,as CaCO3,Unfiltered,,,,,,,,,,,,,,,,,,,,0.0,mg/L,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,ALGCY,USDOI/USGS,Legacy computation by algorithm,,"DESCRIPTION: Presumptive computation by NWIS algorithm and legacy storage of that computation prior to an April 1983 decision to produce computations only on output; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,,2024-03-25,00902,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbon dioxide,"Carbon dioxide, water, unfiltered",124-38-9,,Unfiltered,,,,,,,,,,,,,,,,,,,,0.5,mg/L,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,ALGCY,USDOI/USGS,Legacy computation by algorithm,,"DESCRIPTION: Presumptive computation by NWIS algorithm and legacy storage of that computation prior to an April 1983 decision to produce computations only on output; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",,2024-03-25,00405,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phosphate-phosphorus,"Phosphate as orthophosphate, water, unfiltered",,as PO4,Unfiltered,,,,,,,,,,,,,,,,,,,,0.160,mg/L,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,,2024-03-25,00650,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nitrate,"Nitrate as nitrate, water, unfiltered",14797-55-8,as NO3,Unfiltered,,,,,,,,,,,,,,,,,,,,1.9,mg/L,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,,2024-03-25,71850,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chloride,"Chloride, water, filtered",16887-00-6,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,,2.1,mg/L,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",,2024-03-25,00940,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silica,"Silica as silicon dioxide, water, filtered",7631-86-9,as SiO2,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,,14.0,mg/L,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",,2024-03-25,00955,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium,"Magnesium, water, filtered",7439-95-4,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,,0.20,mg/L,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00925,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calcium,"Calcium, water, filtered",7440-70-2,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,,1.30,mg/L,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00915,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonate,"Carbonate as carbonate, water, unfiltered, fixed endpoint (EP) (pH 8.3) titration, field",3812-32-6,as CO3,Unfiltered,,,,,,,,,,,,,,,,,,,,10,mg/L,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",,2024-03-25,00445,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potassium,"Potassium, water, filtered",7440-09-7,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,,1.40,mg/L,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Metals",,2024-03-25,00935,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total dissolved solids,"Dissolved solids, water, filtered",,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,,0.24,tons/ac ft,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,,2024-03-25,70303,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,,302,uS/cm,,Historical,,,,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,,2024-03-25,00095,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nitrate,"Nitrate as nitrogen, water, unfiltered",14797-55-8,as N,Unfiltered,,,,,,,,,,,,,,,,,,,,0.429,mg/L,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,,2024-03-25,00620,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agency analyzing sample,Agency analyzing sample,,,,,,,,,,,,,,,,,,,,,,,1028 - Geological Survey,,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Information,,2024-03-25,00028,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluoride,"Fluoride, water, filtered",16984-48-8,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,,0.20,mg/L,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",,2024-03-25,00950,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bicarbonate,"Bicarbonate as bicarbonate, water, unfiltered, fixed endpoint (EP) (pH 4.5) titration, field",71-52-3,as HCO3,Unfiltered,,,,,,,,,,,,,,,,,,,,144,mg/L,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",,2024-03-25,00440,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sulfate,"Sulfate, water, filtered",14808-79-8,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,,6.0,mg/L,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",,2024-03-25,00945,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pH,"pH, water, unfiltered, field",,,Unfiltered,,,,,,,,,,,,,,,,,,,,8.7,standard units,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,,2024-03-25,00400,Navajo Sandstone of Glen Canyon Group
USGS,U.S. Geological Survey,['USGS'],,,,,,USGS-363850110100801,08 038-09.40X07.08 [BMOB-2],Well,,Arizona,United States of America,Navajo County,US,AZ,,14080204,140802041401,,,36.6472218002598,-110.170683532489,NAD83,36.6472218002598,-110.170683532489,NAD83,,a130b59e-6677-4f9e-9380-1c82750439f0,,"Sample - Routine, regular",Water,Groundwater,,,,Organization other than U.S. Geological Survey,,,,,,,,,,,,,1972-11-23,,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total dissolved solids,"Dissolved solids, water, filtered, sum of constituents",,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,,173,mg/L,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,ALGCY,USDOI/USGS,Legacy computation by algorithm,,"DESCRIPTION: Presumptive computation by NWIS algorithm and legacy storage of that computation prior to an April 1983 decision to produce computations only on output; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,,2024-03-25,70301,Navajo Sandstone of Glen Canyon Group
